"Inicio del informe","Fin del informe","Nombre del anuncio","Costo por resultados","Indicador de resultado",Resultados,"Importe gastado (COP)",Alcance,Impresiones,Frecuencia,ThruPlays,"Clics (todos)","CTR (todos)","Visitas al perfil de Instagram","Conversaciones con mensajes iniciadas","Citas programadas",Objetivo,"Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Nombre de la cuenta","Identificador de la campaÃ±a","Identificador de la cuenta","Identificador del anuncio","Identificador del conjunto de anuncios","Nombre del conjunto de anuncios","Nombre de la campaÃ±a"
2025-05-20,2026-05-21,"INTERACCIÃN TODA LA VIDA PAGANDO ARRIENDO",613.375,actions:onsite_conversion.messaging_conversation_started_7d,128,78512,9219,11317,1.227573,1456,405,3.578687,0,128,,InteracciÃ³n,"Con el presupuesto de la campaÃ±a",0,Milotecucuta,120228293618520527,1177096264190146,120228293618500527,120228293618510527,"INTERACCIÃN TODA LA VIDA PAGANDO ARRIENDO","INTERACCIÃN TODA LA VIDA PAGANDO ARRIENDO"
2025-05-20,2026-05-21,"InteracciÃ³n FERIAS",1538.24102564,actions:onsite_conversion.messaging_conversation_started_7d,195,299957,31737,48553,1.529855,4269,1874,3.8597,8,195,,InteracciÃ³n,"Con el presupuesto de la campaÃ±a",0,Milotecucuta,120228397125930527,1177096264190146,120228397125910527,120228397125920527,"InteracciÃ³n FERIAS","InteracciÃ³n FERIAS"
2025-05-20,2026-05-21,"TRÃFICO TODA LA VIDA PAGANDO ARRIENDO",194.34980989,profile_visit_view,263,51114,6958,9931,1.427278,1032,556,5.598631,263,1,,TrÃ¡fico,10000,Diario,Milotecucuta,120229670772170527,1177096264190146,120229670772160527,120229670772180527,"TRÃFICO TODA LA VIDA PAGANDO ARRIENDO","TRÃFICO TODA LA VIDA PAGANDO ARRIENDO"
2025-05-20,2026-05-21,"TRÃFICO VOX POPULI",147.84208145,profile_visit_view,2210,326731,52225,81036,1.551671,11877,5352,6.604472,2210,59,,TrÃ¡fico,10000,Diario,Milotecucuta,120229672401740527,1177096264190146,120229672401730527,120229672401750527,"TRÃFICO VOX POPULI","TRÃFICO VOX POPULI"
2025-05-20,2026-05-21,"INTERACCIÃN invertir en un lote urbano no es un sueÃ±o",3658.36842105,actions:onsite_conversion.messaging_conversation_started_7d,38,139018,9415,16292,1.73043,1881,502,3.081267,7,38,,InteracciÃ³n,"Con el presupuesto de la campaÃ±a",0,Milotecucuta,120229913657880527,1177096264190146,120229913657870527,120229913657890527,"INTERACCIÃN invertir en un lote urbano no es un sueÃ±o","INTERACCIÃN invertir en un lote urbano no es un sueÃ±o"
2025-05-20,2026-05-21,"INTERACCIÃN Convertir 500 mil en 50 millones",3348.86124402,actions:onsite_conversion.messaging_conversation_started_7d,209,699912,32754,68316,2.08573,5204,2001,2.929036,16,209,,InteracciÃ³n,"Con el presupuesto de la campaÃ±a",0,Milotecucuta,120229914154470527,1177096264190146,120229914154490527,120229914154480527,"INTERACCIÃN Convertir 500 mil en 50 millones","INTERACCIÃN Convertir 500 mil en 50 millones"
2025-05-20,2026-05-21,"TRÃFICO el futbol no te hacer rico invertir sÃ­",172.65620915,profile_visit_view,765,132082,19104,28355,1.484244,2637,845,2.980074,765,1,,TrÃ¡fico,10000,Diario,Milotecucuta,120229914517780527,1177096264190146,120229914517770527,120229914517790527,"TRÃFICO el futbol no te hacer rico invertir sÃ­","TRÃFICO el futbol no te hacer rico invertir sÃ­"
2025-05-20,2026-05-21,"InteracciÃ³n iniciamos obra de nuestros proyectos",5674.95833333,actions:onsite_conversion.messaging_conversation_started_7d,48,272398,11206,21264,1.897555,2039,645,3.033296,23,48,,InteracciÃ³n,"Con el presupuesto de la campaÃ±a",0,Milotecucuta,120230465036040527,1177096264190146,120230465036030527,120230465036050527,"InteracciÃ³n iniciamos obra de nuestros proyectos","InteracciÃ³n iniciamos obra de nuestros proyectos"
2025-05-20,2026-05-21,"TrÃ¡fico Invertir no es solo para los ultraricos",287.66428571,profile_visit_view,140,40273,6254,6784,1.084746,338,175,2.579599,140,,,TrÃ¡fico,10000,Diario,Milotecucuta,120230872535500527,1177096264190146,120230872535510527,120230872535490527,"TrÃ¡fico Invertir no es solo para los ultraricos","TrÃ¡fico Invertir no es solo para los ultraricos"
2025-05-20,2026-05-21,"Denver InteracciÃ³n comprar un lote aquÃ­ es sencillo",21015,actions:onsite_conversion.messaging_conversation_started_7d,1,21015,272,346,1.272059,34,8,2.312139,0,1,,InteracciÃ³n,"Con el presupuesto de la campaÃ±a",0,Milotecucuta,120230874446890527,1177096264190146,120230874446880527,120230874446900527,"Denver InteracciÃ³n comprar un lote aquÃ­ es sencillo","InteracciÃ³n comprar un lote aquÃ­ es sencillo"
